剧本,脚本
无拘无碍,无拘无缚
穷则思变,穷极思变
刨根究底,刨根问底
事变,事情
宦官,寺人
害怕,胆寒
厚实,结实
识文断字,识文谈字
弃捐,弃置
凋残,雕残
坏处,缺点
赏识,鉴赏
围拢,聚拢
食不甘味,食不遑味
瞬间,短暂
文学大师,文豪
松散,涣散
侮辱,欺负
淮南鸡犬,鸡犬升天
十年教训,生聚教训
举一废百,举措失当
教授,讲授
戕害,杀害
内在,内涵
挥汗如雨,挥汗成雨
视如寇仇,食肉寝皮
声势浩大,大张旗鼓
具体而微,大而无当
解放,解脱
岁暮,年终
通时达务,通权达变
警戒,警觉
无所畏惧,见义勇为
决定,顶多
名望,威望
首丘之情,首丘夙愿
大举,大力
靡然乡风,靡然向风
接办,接手
平淡无奇,平铺直叙
大概,大要
抖擞,旺盛
登时,顿时
交代,叮咛
顺水推船,顺水行舟
单薄,微博
天塌地陷,天摧地塌
狡猾,狡诈
万劫不复,山穷水尽
失败,衰落
微乎其微,眇乎小哉
劫夺,打劫
问牛知马,闻一知十
生僻,生疏
焦灼,焦炙
凄哀,凄惨
拖泥带水,模棱两可
奇妙,奇异
雕虫小技,雕虫末伎
绝世佳人,绝色佳人
说话,谈话
啮雪吞毡,啮雪餐毡
明婚正娶,明媒正娶
佳景,胜景
危如累卵,间不容发
偏僻,寂静
底蕴,积淀
惊恐,惶恐
民康物阜,民熙物阜
畿辇,皇京
微弱,衰弱
强盛,掘起
孑立,独立
强中更有强中手,强中自有强中手
清静,静谧
搜括,聚敛
尖刻,尖酸
手段,权术
时势,景象
耽溺,迷恋
年岁,年齿
技高一筹,棋高一着
怒冲冲,气冲冲
多一事不如少一事,多一事不如省一事
搜求,收罗
乔装打扮,乔装改扮
塞翁失马,失之东隅
受益匪浅,获益匪浅
藐视,轻茂
恩断义绝,恩断意绝
经久不息,经久不衰
贪污腐化,贪赃枉法
山穷水尽,道尽途穷
换骨脱胎,脱骨换胎
纠合,齐集
探骊得珠,探骊获珠
精华,精深
打斗,斗殴
活眼活现,活龙活现
毫厘,豪厘
屏弃,汉典
宏愿,洪志
俄顷,少顷
坚如盘石,稳如泰山
天旋地转,头晕目眩
慌乱,慌忙
大是大非,是非曲直
井井有条,井然有序
年数,年纪
区划,区画
坚强,鉴定
失败,退步
前提,条件
就手,顺利
是是非非,谁是谁非
诘屈,诘诎
大刀阔斧,大刀阔斧
名不符实,徒有虚名
为非作歹,为鬼为蜮
无所忌惮,无所畏惮
大势已去,每况愈下
惊呀,惊诧
忤耳,逆耳
台甫,大名
慢悠悠,慢腾腾
得陇望蜀,贪猥无厌
全面,通盘
减削,减少
贫困交加,饥寒交迫
吞吐,婉曲
俊杰,豪杰
悼惜,痛悼
见风使舵,顺水推舟
九故十亲,亲朋好友
深奥,深沉
洪水猛兽,祸不单行
为所欲为,胡作非为
亲切,亲热
毛骨悚然,毛骨竦然
和局,平局
恼怒,气恼
杀鸡吓猴,杀鸡骇猴
大醉,酣醉
进退维谷,骑虎难下
面折庭争,面折廷争
捐赠,救济
娘舅,舅父
食不念饱,食无求饱
含义,含意
围绕,盘绕
书信,书函
四肢百体,四肢百骸
回天乏术,无法复生
团圆,团聚
使女,女仆
囊空如洗,季子囊空
失信,爽约
亡故,死灭
接收,摄取
情义,情意
将功折罪,将功补过
首脑,首长
全部,具体
头梢自领,头稍自领
红颜薄命,美人命薄
井井有条,齐齐整整
求教,请教
杀人如草,杀人如蒿
爽快,爽直
和悦,和蔼
三言两语,片纸只字
的当,确当
嫉恶好善,疾恶好善
单薄,微弱
天下无敌,天下第一
竞争,角逐
大权独揽,独断专行
囚首垢面,蓬头垢面
所向无敌,降龙伏虎
手忙脚乱,束手无策
箪食壶浆,食箪浆壶
望风而逃,闻风而逃
天井,庭院
多如牛毛,数见不鲜
同宗,同族
胆大包天,胆大如斗
恩典,恩泽
停止,松手
荆钗布裙,锦衣玉食
捐残去杀,胜残去杀
教化,浸染
投隙抵巇,投隙抵罅
建筑,建设
宁为玉碎,宁死不屈
无忧无虑,无牵无挂
坚持不懈,金石可镂
简单,简易
惟妙惟肖,维妙维肖
猛然,蓦然
敬爱,敬重
大公无私,舍身取义
抵赖,推托
骑者善坠,骑者善堕
惟利是图,惟利是趋
蓦地,蓦然
宁神,定心
穷奢极欲,花天酒地
事危累卵,危如累卵
佩服,敬佩
怀恋,思念
适合,顺应
拘束,谨慎
黑沉沉,黑黝黝
他心,外心
纳履踵决,纳屦踵决
戴笠乘车,贫贱之交
上古,太古
仆从,奴婢
火烈,火热
瞬间,突然
倒戈一击,倒打一耙
岌岌可危,急不可待
简易,轻便
洞幽烛微,洞隐烛微
施行,践诺
七通八达,四通八达
奖励,奖赏
东食西宿,唯利是图
水清无鱼,水至清则无鱼
无动于中,无动于衷
鼠肚鸡肠,鼠腹鸡肠
少私寡欲,清心寡欲
佼佼不群,鹤立鸡群
还淳反朴,还醇返朴
品行,品质
秘诀,诀窍
刀山剑树,刀山火海
担搁,耽搁
锦阵花营,锦阵花营
美丽,美观
树范,示范
砥砺,雕琢
地覆天翻,天崩地裂
家常便饭,家常茶饭
荒诞无稽,荒谬绝伦
神怪,荒诞
侵犯,加害
尸骨,尸骸
太太,妻子
牵挂,牵记
推襟送抱,送抱推襟
四海为家,无家可归
和蔼可亲,大慈大悲
努力,起劲
投递,送达
猴头猴脑,虎头虎脑
灰心丧意,灰心短气
疾言厉色,疾言怒色
脑子,脑筋
强抢,抢夺
天禀,天赋
举世瞩目,无人不晓
名副其实,货真价实
即是,就是
书柜,书橱
讲古论今,谈今说古
书牍,翰札
切脉,评脉
头脑,脑筋
鸡鸣犬吠,鸡鸣狗吠
亲切,亲近
时机,火候
威严,稳重
说长论短,说长道短
丧魂落魄,魂不附体
商量,接洽
怀念,景仰
怀疑,狐疑
徒然,忽地
滴水不漏,颠扑不破
刹那,突然
叹为观止,登峰造极
炯炯有神,目光炯炯
浓妆,盛饰
交好,和好
明了,明白
守口如瓶,缄舌闭口
刀下留人,刀下留情
上当,受骗
同乡,家园
委弃,抛弃
死亡,灭亡
受益匪浅,受益良多
交壤,交界
当者披靡,所向披靡
说东道西,说长道短
惊悸,惶恐
河清海宴,河清海晏
逃杨,逃禅
内幕,秘闻
剖析,解析
史册,史籍
检验,磨炼
胆战心惊,胆战心慌
俗语,俗谚
披坚执锐,荷枪实弹
家徒壁立,家徒壁立
完整,完美
含苞吐萼,含苞待放
私事,私务
世界,寰宇
位置,地位
交谊,情义
乞求,请求
聚讼不已,莫衷一是
去伪存真,沙里淘金
善人,好人
明白,通达
毛举细事,毛举细务
糊涂,迷乱
借故,托辞
无名小卒,马前卒
轻佻,轻浮
丁宁,叮属
推度,推想
仆众,奴才
欢快,欢畅
会萃,聚积
凄楚,凄苦
急切,火急
京城,京师
疏解,解释
呆若木鸡,目瞪口呆
大言不惭,滔滔不绝
秘密,秘籍
完全,无缺
东扯西拉,东扯西拽
倏忽,陡然
问候,问好
倾泄,倾注
劈头,匹面
大雅,精致
黔首,黔黎
拒谏饰非,饰非拒谏
勤能补拙,驽马十驾
具体,简直
骇人听闻,骇人闻见
南辕北辙,天南地北
东南之宝,东南竹箭
坏蛋,恶汉
亲热,密切
清风亮节,清风高节
团结,配合
去本就末,去本趋末
遁辞,饰词
灰身粉骨,灰躯糜骨
停止,撒手
无关大局,无关紧要
怀念,怀想
经过,颠末
东扶西倒,东歪西倒
地利人和,得天独厚
敏捷,精巧
九牛一毛,九牛一毫
委派,托付
亭台楼阁,琼楼玉宇
疏松,蓬松
钱,钱币
倒持干戈,倒持泰阿
均分,等分
水米无交,水米无干
三番两次,三番五次
图谋不轨,所图不轨
跌价,降价
推己及人,身临其境
文质彬彬,温文尔雅
动乱,动荡
惊叹,惊羡
奇妙,神奇
平时,普通
呆板,死板
气势磅沱,气吞山河
丢弃,抛弃
大意,忽视
坚定,矍铄
去暗投明,弃暗投明
倒行逆施,大逆不道
秋毫无犯,鸡犬不惊
四平八稳,面面俱到
摩顶放踵,胼手胝足
托辞,饰辞
内行,能手
讨教,请示
酒酣耳热,酒醉饭饱
唾地成文,脱口成章
喃喃低语,喃喃细语
天花乱坠,花言巧语
拖延,逗留
怯弱,懦弱
悔过自责,迷途知返
侵害,加害
和气,温存
事情,事故
鸡犬不宁,鸡飞狗走
佳人薄命,红颜薄命
墨守成规,守株待兔
浑然天成,混然天成
损本逐末,舍本逐末
杜门不出,韬光隐晦
忐忑不安,目瞪口呆
上任,就职
大展宏图,大展经纶
患难之交,深厚之交
评头论脚,评头论足
含糊,朦胧
忽然,蓦地
调动,调理
沮丧,颓唐
偶尔,权且
闪动,闪烁
同床异梦,貌合心离
急于事成,急于求成
丁宁,派遣
得心应手,轻车熟路
偏私,偏袒
巧舌如簧,巧言令色
唯妙唯肖,惟妙惟肖
遣意,遣词
动心忍性,坚持不懈
横眉怒目,横眉竖眼
娓娓动听,娓娓而谈
浓厚,深刻
聘用,聘请
计日以俟,计日以期
文雅,漂后
天涯海角,山陬海澨
物色,索求
匍匐,爬行
无边无沿,无边无涯
抛弃,舍弃
气派,魄力
审察,端相
得救,解围
声色犬马,声色狗马
溺爱,疼爱
清楚,清爽
胡里胡涂,迷迷糊糊
殚精竭虑,煞费苦心
对换,对调
熟手,能手
浸染,陶染
目瞪口张,目瞪口结
唾手,随手
动机,年头
扭转,挽回
漆黑一团,黑天摸地
漂荡,飘舞
铁案如山,铁证如山
交流,调换
冒失,玩忽
深更半夜,黑更半夜
拒绝,断绝
合作,合营
轻徭薄税,轻赋薄敛
火上加油,火上浇油
讨价,还价
神气十足,神气活现
佻薄,轻浮
切磋琢磨,取长补短
往往,经常
叫唤,叫喊
幕燕釜鱼,幕燕鼎鱼
无味,无聊
气候,气象
蛮横,骄横
含苞待放,含苞欲放
启发,带动
桑中生李,蜀犬吠日
前方,火线
搔头弄姿,搔首弄姿
都城,首都
火烧眉毛,迫不及待
收缩,退缩
大步流星,箭步如飞
团圆,聚集
军备,武备
痛心,酸心
极其,极端
损坏,破格
借口,饰词
山旮旯儿,山旮旯子
颓丧,颓落
碎首糜躯,碎首縻躯
地久天长,海枯石烂
近水楼台,近水楼台先得月
伪物,假货
和煦,温顺
虐待,迫害
绘声绘色,绘影绘声
三街六巷,街头巷尾
俭约,节约
四郊多垒,四面楚歌
破碎,碎裂
蛮横,雕悍
旧交,旧友
赧赧,赧颜
得鱼忘筌,忘恩负义
街谈巷说,街谭巷议
含笑九泉,视死如饴
生僻,荒僻
即速,急忙
举动,手脚
精疲力竭,身心交病
晦涩,艰涩
匹夫沟渎,匹妇沟渠
回想,回顾
搅浑,混淆
季候,季节
缓和,缓解
明哲保身,洁身自好
疲困,疲惫
物归原主,物归旧主
其他,其余
无边无际,浩瀚无垠
殚精极思,殚精极虑
挖苦,讥诮
敏捷,敏锐
黑灯下火,黑灯瞎火
蓦地,顿然
混淆是非,混淆黑白
惊涛巨浪,惊涛骇浪
节减,节略
铜城铁壁,铜墙铁壁
勤奋,勤恳
体贴入妙,体贴入妙
救援,救济
丢掉,抛弃
黑沉沉,黑洞洞
教训,经验
慰问,问候
娇声娇气,娇里娇气
多多益办,多多益善
大众文学,民间文学
呼之欲出,惟妙惟肖
豆蔻年华,金色年华
顽固,顽强
物质,物资
奸诈,狡诈
久远,深远
恢弘,无边
申诉,申述
头昏眼花,头昏脑眩
熟寐,熟睡
气冲牛斗,气吞牛斗
天地长久,天崩地裂
声色俱厉,疾言厉色
守愚藏拙,深藏若虚
交代,顶住
排出,排除
耐心,耐烦
酒色之徒,酒色财气
全数,全盘
决计,顶多
强硬,强项
物善其用,物尽其用
伸谢,道谢
凋敝,衰落
事件,事故
体壮如牛,虎背熊腰
大言不惭,娓娓而谈
强嘴硬牙,能说会道
教化,教授
拘禁,拘系
目定口呆,目瞪口结
丹青妙手,妙手回春
妄自尊大,目中无人
接受,接收
街谈巷议,街谭巷议
没精打采,萎靡不振
呆头呆脑,木鸡之呆
事件,事情
魂飞天外,魂飞魄散
会晤,会见
冒犯,得罪
大材小用,明珠弹雀
憨厚,敦厚
答应,订交
强制,强逼
伤害,欺负
担任,肩负
特征,特点
品德,品质
受阻,碰壁
疏漏,马虎
收买,收购
无可奈何,无如奈何
噩耗,噩讯
同舟共济,同舟而济
哈腰,弯腰
单人独马,单刀赴会
怒不可遏,怒气冲天
疾风扫秋叶,疾风扫落叶
唯命是听,唯唯诺诺
十拿九稳,探囊取物
借字,借据
文武全才,文武兼济
书写,誊录
二心,外心
听其自然,听天由命
欺善怕恶,欺软怕硬
疲乏,疲惫
堤防,戒备
倒持干戈,授人以柄
耳鬓厮磨,青梅竹马
凄厉,凄惨
千丝万缕,千头万绪
披头散发,蓬头垢面
济世匡时,济世安民
天气,气象
好像,宛若
通晓,通达
怀珠抱玉,怀珠韫玉
和缓,松懈
京师,都城
弹尽援绝,弹尽粮绝
天堂地狱,天壤之别
无所畏惮,无所顾忌
宿怨,旧恨
危机,紧急
仆役,家丁
倾覆,推翻
情孚意合,情投意合
巧舌如簧,能言巧辩
俊俏,美丽
满腹珠玑,满腹经纶
时机,机会
所向无前,所向无敌
点指画字,点纸画字
暮夜,黑夜
童衣,童装
念书,读书
卧底,间谍
难分难舍,难解难分
商号,市廛
尸横遍野,饿殍遍野
浓妆艳服,浓妆艳饰
食不知味,食不遑味
江郎才尽,江郎才掩
凋落,雕零
聚会,聚积
惶惶,惶遽
大惊小怪,见怪不怪
松弛,马虎
孀妇,未亡人
健壮,结实
解救,调停
梦境,梦幻
破钞,花费
大惑不解,豁然开朗
气冲冲,气呼呼
无所畏忌,无所顾忌
见机行事,随机应变
怒不可遏,怒火万丈
全体,统统
潜形匿迹,潜形谲迹
毛骨竦然,毛骨耸然
户有余粮,民康物阜
居心不良,居心叵测
书信,函件
当即,马上
位置,地址
丢失,丧失
建议,提出
失魂丧胆,失魂丧魄
揭晓,揭橥
签订,订立
勉力,激励
名山大川,锦绣河山
酸楚,酸涩
大张其词,大言不惭
东郭先生,好好先生
晶体,警觉
岁终,年尾
僧人,头陀
建设,设备
冀望,期望
漫天彻地,漫山遍野
失礼,无礼
偏差,谬误
假戏真做,弄假成真
手简,手翰
统统,齐备
十目所视,十目所视，十手所指
撒布,散布
万念俱灰,万念皆灰
家徒四壁,贫无立锥
俊丽,美丽
泯灭,耗费
颠扑不破,颠簸不破
权利,权益
大汗淋漓,汗流浃背
建交,缔交
抬举,抬爱
减少,减轻
耽搁,迁延
会集,聚合
大腹便便,脑满肠肥
地方,所在
司理,经理
屏声息气,屏气慑息
大发雷霆,大肆咆哮
叫子,哨子
低眉顺眼,颌首低眉
和暖,温暖
亲近,迫近
华而不实,弄虚作假
往复,往返
激发,激起
失之东隅,得不偿失
污言秽语,秽语污言
界限,鸿沟
启碇,解缆
似是而非,貌同实异
上古,邃古
打定,计算
肃然起敬,顶礼膜拜
弃如敝履,视如粪土
文质斌斌,温文尔雅
通达,邃晓
屈膝,抵抗
