乘隙,顺便
巴结,攀附
煽惑,鼓动
尴尬,狼狈
信口开喝,信口开河
求全责备,洗垢求瘢
由衷,诚意
灌入,贯注
举不胜举,指不胜屈
剧本,脚本
协定,合同
忍辱负重,降志辱身
只怕,生怕
才子佳人,金童玉女
枉费,白搭
答允,许诺
劫难,灾难
动工,开工
人云亦云,吠影吠声
天怒人怨,怨天忧人
归真反朴,归真反璞
全面,系数
苛虐,荼毒
敝绨恶粟,敝衣粝食
屏声敛息,屏气敛息
对抗,顽抗
知友,知音
注重,珍视
抢先,超过
不理,不睬
洁净,纯洁
蹈其覆辙,重蹈覆辙
把持,独占
宽宏大量,无所不容
人事不省,人事不知
笨拙,蠢笨
木鸡之呆,目瞪口呆
压迫,逼迫
教育,训诲
怨恨,恼恨
本相,真相
惨事,惨剧
终归,终究
势不两立,水火不相容
修建,建筑
显露,露出
疑惑,疑虑
拍案惊奇,拍案称奇
怡悦,痛快
犯上作乱,违法乱纪
互换,交流
散乱,狼籍
瑰丽,绚烂
忠贞不渝,有死无二
勾搭,勾结
大惊小怪,蜀犬吠日
订交,赞同
强暴,粗鲁
口直心快,心直口快
出淤泥而不染,涅而不缁
完满,齐全
亏损,牺牲
尸骸,死尸
以夜继日,夜以继昼
毒辣,狠毒
旺盛,隆盛
坐卧不宁,诚惶诚恐
光景,风景
发起,提倡
棋逢对手,棋逢对手
法则,法规
定例,定规
花街柳巷,花街柳市
散散落落,零七八碎
明珠弹雀,隋珠弹雀
平凡,平常
局限,节制
酒囊饭袋,饭囊衣架
救过不暇,救过不给
喧哗,纷扰
成恳,诚挚
心事,隐衷
委曲求全,逆来顺受
善恶不分,泾渭不分
不愿,不肯
暗淡无光,黯然无色
掩盖,粉饰
深奥,艰深
夸耀,骄矜
凉快,清凉
恭维,捧场
天造地设,神工鬼斧
沮丧,颓败
人间,尘间
想方设法,挖空心思
离心离德,离经背道
英豪,英雄
血亏,贫血
亲切,挨近
改正,改革
摇摆,摇曳
浑浑噩噩,混混噩噩
男人,男子
傲睨,渺视
罪不容诛,罪孽深重
不同,区别
放心,释怀
急忙,急遽
例行公事,公事公办
婉转,悠扬
得意,愿意
包涵,宥恕
公允,公道
随地随时,随时随地
独占鳌头,超群绝伦
卖国求荣,里通外国
有枝添叶,添枝加叶
积存,积聚
木已成舟,米已成炊
朦拢,隐约
欢天喜地,眉飞色舞
荫蔽,隐蔽
文书,通告
事过境迁,沧海桑田
插翅难逃,插翅难飞
消极,颓唐
大敌当前,生死攸关
后头,背面
断章取义,穿凿附会
装疯卖傻,装聋作哑
不屑一顾,不足挂齿
狐疑,猜忌
意气扬扬,沾沾自喜
忧惧,惶恐
不得要领,不知所云
龟鹤之年,龟鹤遐寿
姑置勿论,存而不论
弹丸之地,方寸之地
墙倒众人推,趁火打劫
连帙累牍,连篇累帙
枯木逢春,花明柳暗
排山倒海,铺天盖地
干练,老成
忏悔,懊悔
伺候,侍奉
修短有命,命中注定
了解,领略
天禀,天资
精致,细腻
暖锅,火锅
奸人,歹徒
英姿飒爽,飒爽英姿
史书,史籍
焚书坑儒,焚典坑儒
纠缠,轇轕
烦恼,纷扰
一面之词,一面之辞
安定,清静
生花妙笔,画龙点睛
空位,空隙
改变,转移
完整,统统
弯曲,转折
遐思,遐想
坚不可摧,根深蒂固
登时,立即
八两半斤,平分秋色
坚不可摧,稳如泰山
借题发挥,大做文章
